createdAt,side,liquidity,type,market,price,size,fee
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.29","41","0.394018"
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.29","12.7","0.122049"
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.291","98","0.941836"
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.293","98","0.941911"
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.295","403.2","3.875598"
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.295","106.3","1.021766"
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.296","65","0.624811"
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.296","224.8","2.160885"
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.296","155.6","1.495701"
"2023-07-28T01:01:11.879Z","SELL","TAKER","MARKET","SOL-USD","25.297","479.4","4.608405"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.715","649","0.176333"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.715","2200","0.59774"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.7151","10114","2.748358"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.7151","1390","0.377715"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.7151","41973","11.405659"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.7151","9592","2.60651"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.7151","2200","0.597823"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.7151","18579","5.04862"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.7151","4606","1.251625"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.7152","4500","1.222992"
"2023-07-27T21:03:15.711Z","SELL","TAKER","MARKET","MATIC-USD","0.7152","4197","1.140643"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.923","2696.3","25.535956"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.923","201","1.903618"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.923","112.6","1.066405"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.922","200.9","1.902595"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.919","484.2","4.584996"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.919","70","0.662845"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.919","100","0.946922"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.918","70","0.662818"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.916","403.2","3.817529"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.916","100","0.946808"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.916","100","0.946808"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.916","221.7","2.099073"
"2023-07-27T19:55:20.401Z","BUY","TAKER","MARKET","SOL-USD","24.916","240.1","2.273286"
